subject,predicate,object,sentence
France,deny,independence,"In January 1944, France agreed to transfer power to the Lebanese government, thus granting the territory independence.[8]
However France at first denied Lebanon's independence and arrested Lebanese Political Leaders including the Lebanese President who were in opposition of the French mandate however under Lebanese and international pressure France released them."
France,release,them,"In January 1944, France agreed to transfer power to the Lebanese government, thus granting the territory independence.[8]
However France at first denied Lebanon's independence and arrested Lebanese Political Leaders including the Lebanese President who were in opposition of the French mandate however under Lebanese and international pressure France released them."
France,lose,soldiers,"During that same period, France lost more than 89 soldiers out of which 58 French Paratroopers were killed in the 1983 Beirut barracks bombings.[12]
Post civil war
[edit]After 1990, France continued to give Lebanon a modest military assistance."
Syria,withdraw,troops,"After the Cedar Revolution in 2005, Syria withdrew its troops from the country.[8]"
officials,approve,framework,"In April 2009, French and Lebanese officials approved the framework of a security agreement that besides improving bilateral relations include drugs and arms trafficking, illegal immigration and cyber-crime."
that,include,trafficking,"In April 2009, French and Lebanese officials approved the framework of a security agreement that besides improving bilateral relations include drugs and arms trafficking, illegal immigration and cyber-crime."
he,hold,citizenship,"Later that month, with the intervention by French President Emmanuel Macron, Hariri was allowed to leave Saudi Arabia (where he also holds citizenship) and travelled to Paris."
Hariri,rescind,resignation,"On 5 December 2017, Hariri rescinded his resignation and stated:
All (the government’s) political components decided to dissociate themselves from all conflicts, disputes, wars or the internal affairs of brother Arab countries, in order to preserve Lebanon’s economic and political relations.[16]"
Macron,visit,Migration,"Later on, President Macron visited Lebanon following the 2020 Beirut explosion.[17]
Migration
[edit]Since the French Mandate of Lebanon, several thousands Lebanese immigrated to France."
Christians,leave,Lebanon,Christians which were once a majority in Lebanon have left Lebanon especially during the Lebanese civil war.[18]
Many,leave,Lebanon,"Many left Lebanon due to religious tension in the country, and due to the civil wars, Iranian influence in Lebanon through Hezbollah and its wars with Israel as well as invasion from Israel into the country.[20][21][22]"
trade,total,934,"[edit]In 2016, trade between France and Lebanon totaled €934 million.[24]"
investment,total,million.[13,"In 2015, French direct investment in Lebanon totaled €534 million.[13]"
France,have,embassy,"Nearly a hundred French companies operate in Lebanon in various sectors such as in the agricultural, telecommunications, retail, petroleum industry and financial services.[13]
Resident diplomatic missions
[edit]- France has an embassy in Beirut.[25]
- Lebanon has an embassy in Paris and a consulate-general in Marseille.[26]
See also
[edit]- French mandate of Lebanon
- French language in Lebanon
- French people in Lebanon
-"
Lebanon,have,language,"Nearly a hundred French companies operate in Lebanon in various sectors such as in the agricultural, telecommunications, retail, petroleum industry and financial services.[13]
Resident diplomatic missions
[edit]- France has an embassy in Beirut.[25]
- Lebanon has an embassy in Paris and a consulate-general in Marseille.[26]
See also
[edit]- French mandate of Lebanon
- French language in Lebanon
- French people in Lebanon
-"
France,take,role,"
- List of Ambassadors of France to Lebanon
- Lycée Franco-Libanais Habbouche-Nabatieh
References
[edit]- ^ France takes lead role on Lebanon - BBC News
- ^ French nearly fired at Israelis - BBC News
-"
Hariri,rescind,resignation,"
- ^ a b ""Lebanon's Hariri rescinds resignation, drawing line under crisis""."
commerce,bring,them,"In fact, the discovery of bronze is itself a testament to the historical evolution of civilization: since copper and tin – the minerals needed to make bronze – are rarely found in the same location, international commerce brought them together, for example, via trade routes between Phoenicia and the British Isles."
I,purchase,piece,"For example, selenite gemstone, which I purchased a small piece of in the gift shop for only $6, in its mineral form, gypsum, is used as plaster for casts and drywall, while, perhaps more interestingly, ourinite from the Congo (containing uranium) was used for the Manhattan Project that tested the world’s first atomic weapons."
that,test,weapons,"For example, selenite gemstone, which I purchased a small piece of in the gift shop for only $6, in its mineral form, gypsum, is used as plaster for casts and drywall, while, perhaps more interestingly, ourinite from the Congo (containing uranium) was used for the Manhattan Project that tested the world’s first atomic weapons."
section,demonstrate,complexity,"This section of the MIM website – written by Salim Edde himself – demonstrates the molecular complexity of these crystals, using a single grain of salt as an example:
“…it is a cube consisting of a perfect alignment of 1,770,000 sodium atoms separated by as many atoms of chlorine in identical fashion in all three directions."
